from,to
"D00896","H01563"
"D10615","H00038"
"D03093","H01445"
"D00687","H00079"
"D00942","H00437"
"D00751","H01507"
"D02841","H00027"
"D01111","H00409"
"D10915","H00915"
"D11043","H00409"
"D03546","H00001"
"D02745","H00413"
"D00292","H01674"
"D05408","H00328"
"D00942","H01709"
"D00109","H01632"
"D09314","H00005"
"D02076","H00612"
"D10559","H02301"
"D09219","H01633"
"D06320","H01463"
"D09337","H00010"
"D00203","H00363"
"D02465","H00363"
"D00473","H00237"
"D03503","H01602"
"D10185","H01646"
"D11036","H01714"
"D03503","H01634"
"D00407","H01604"
"D00850","H01440"
"D03903","H00315"
"D12205","H01321"
"D05259","H01522"
"D00804","H01043"
"D00981","H01694"
"D03488","H01652"
"D00255","H01633"
"D03455","H02420"
"D00979","H01698"
"D10571","H01563"
"D00583","H00022"
"D02060","H00746"
"D09575","H01563"
"D01199","H01563"
"D00322","H00363"
"D00979","H01490"
"D00491","H00031"
"D00490","H01132"
"D00414","H00079"
"D11875","H00283"
"D00701","H01609"
"D10979","H00031"
"D00439","H01176"
"D00290","H00110"
"D00322","H00364"
"D00970","H01672"
"D11054","H01053"
"D00208","H00018"
"D10497","H01431"
"D05697","H01457"
"D08357","H01519"
"D00304","H01653"
"D00592","H00344"
"D11485","H01613"
"D09783","H01672"
"D05529","H01418"
"D11050","H00010"
"D00418","H01633"
"D00983","H01586"
"D10913","H02143"
"D00136","H00862"
"D05375","H01664"
"D00463","H01672"
"D11194","H00254"
"D10469","H00413"
"D00253","H01600"
"D08969","H00057"
"D00357","H01633"
"D10316","H00021"
"D00355","H01634"
"D11653","H01615"
"D00989","H00024"
"D01862","H01635"
"D11559","H00455"
"D11141","H00031"
"D03441","H00630"
"D00724","H01602"
"D10096","H00001"
"D00203","H00359"
"D08736","H01331"
"D10263","H00409"
"D03505","H01669"
"D12114","H02398"
"D06565","H00131"
"D00407","H01362"
"D00786","H00057"
"D11545","H00363"
"D11114","H01522"
"D10827","H00413"
"D10836","H01563"
"D11601","H02434"
"D00818","H01646"
"D10808","H00013"
"D00095","H01359"
"D05339","H01649"
"D00246","H01360"
"D00751","H00216"
"D01968","H01709"
"D00978","H01586"
"D11711","H00409"
"D00518","H00745"
"D00824","H01450"
"D03150","H00010"
"D00142","H00001"
"D03903","H00305"
"D00049","H01635"
"D10926","H00014"
"D06068","H00021"
"D00063","H00218"
"D05868","H00187"
"D10476","H00978"
"D00742","H01674"
"D06109","H00003"
"D06413","H00004"
"D00088","H01674"
"D03065","H01459"
"D00979","H01466"
"D00398","H00366"
"D01748","H01626"
"D07640","H00315"
"D00473","H01598"
"D00914","H00353"
"D03308","H01510"
"D09932","H00006"
"D00241","H01490"
"D00537","H01813"
"D03903","H01318"
"D02122","H00297"
"D00307","H02379"
"D10191","H00057"
"D11521","H01563"
"D00530","H01609"
"D01381","H01519"
"D00141","H01674"
"D10133","H01646"
"D00214","H02421"
"D00778","H01600"
"D00443","H01657"
"D11744","H01940"
"D05597","H01730"
"D00307","H00332"
"D00970","H01532"
"D06482","H00032"
"D00624","H01742"
"D00734","H01467"
"D12207","H01321"
"D07077","H01621"
"D00978","H01463"
"D02555","H01328"
"D00597","H01633"
"D00975","H01694"
"D00307","H00350"
"D00981","H01463"
"D11928","H02060"
"D11090","H00003"
"D10592","H01633"
"D11988","H01963"
"D09321","H01613"
"D08880","H00010"
"D11712","H00032"
"D00473","H01507"
"D00983","H01507"
"D04687","H00010"
"D10179","H00409"
"D00874","H00297"
"D00973","H01585"
"D02115","H01672"
"D06409","H01665"
"D00878","H00342"
"D00751","H00080"
"D10450","H00014"
"D00973","H01358"
"D11525","H00022"
"D00985","H01595"
"D00341","H02420"
