from,to,action
"K02932","H00237",unknown
"K23950","H02325",unknown
"K04603","H00063",unknown
"K10374","H00811",unknown
"K22937","H00101",unknown
"K24977","H00264",unknown
"K07828","H01666","mutation"
"K05094","H00458",unknown
"K05473","H00436",unknown
"K04658","H00484",unknown
"K19572","H01382",unknown
"K05865","H00294",unknown
"K16749","H00418",unknown
"K11447","H01667","mutation"
"K06051","H01413",unknown
"K14347","H02481",unknown
"K13769","H00048","overexpression"
"K06813","H01102",unknown
"K06229","H00530",unknown
"K12605","H02463",unknown
"K23218","H00773",unknown
"K19480","H00498",unknown
"K19330","H01891",unknown
"K12567","H00594",unknown
"K03990","H00821",unknown
"K03178","H00455",unknown
"K19289","H01155",unknown
"K22630","H01217",unknown
"K03128","H00768",unknown
"K04358","H00642",unknown
"K09290","H00702",unknown
"K08766","H01982",unknown
"K10789","H02025",unknown
"K24372","H00589",unknown
"K09038","H00527",unknown
"K07203","H01928",unknown
"K06068","H00108",unknown
"K14139","H01227",unknown
"K12565","H00565",unknown
"K18245","H02310",unknown
"K15363","H01877",unknown
"K24199","H00627",unknown
"K07195","H02461",unknown
"K10407","H02114",unknown
"K06538","H00108",unknown
"K04437","H00594",unknown
"K15437","H00679",unknown
"K20476","H02478",unknown
"K01115","H02375",unknown
"K02090","H00268",unknown
"K04436","H02470",unknown
"K20196","H00527",unknown
"K00771","H00560",unknown
"K01099","H00692",unknown
"K11471","H02410","mutation"
"K24038","H00770",unknown
"K01640","H00179",unknown
"K04369","H00523",unknown
"K01513","H01394",unknown
"K07509","H01352",unknown
"K12314","H00294",unknown
"K13340","H00204",unknown
"K05626","H00060","CAG repeat expansion"
"K16781","H00418",unknown
"K05083","H00030","amplification"
"K23967","H00606",unknown
"K11448","H02460",unknown
"K16482","H00481",unknown
"K06278","H01621",unknown
"K01251","H00184",unknown
"K09544","H00856",unknown
"K12641","H00663",unknown
"K06249","H00268",unknown
"K08735","H00027","germline mutation"
"K03521","H01400",unknown
"K04451","H01555","mutation"
"K23894","H00269",unknown
"K17686","H00856",unknown
"K14676","H02137",unknown
"K01367","H00266",unknown
"K10886","H02481",unknown
"K10754","H02366",unknown
"K00235","H01591",unknown
"K04365","H00014","mutation"
"K04609","H02397",unknown
"K22913","H02127",unknown
"K18437","H00260",unknown
"K15109","H01400",unknown
"K13578","H00468",unknown
"K01869","H01367",unknown
"K01890","H02466",unknown
"K05469","H01492","polymorphism"
"K11498","H00269",unknown
"K09222","H01250",unknown
"K19871","H02283",unknown
"K04686","H01149",unknown
"K14620","H01903",unknown
"K05031","H01033",unknown
"K11793","H00768",unknown
"K01059","H00154",unknown
"K14576","H00479",unknown
"K07390","H00982",unknown
"K11653","H01403",unknown
"K21073","H00292",unknown
"K06752","H00294","polymorphism"
"K06809","H00773",unknown
"K05683","H02505",unknown
"K01623","H01762",unknown
"K01192","H00140",unknown
"K05495","H00632",unknown
"K04401","H00734",unknown
"K07933","H00019",unknown
"K19352","H00530",unknown
"K03883","H00473",unknown
"K20879","H00564",unknown
"K18405","H01202",unknown
"K04437","H02229",unknown
"K05855","H02526",unknown
"K05117","H00527",unknown
"K01332","H00102",unknown
"K17895","H01271",unknown
"K05071","H01563","slow progression"
"K04142","H02106",unknown
"K19017","H00527",unknown
"K02947","H00237",unknown
"K02332","H01395",unknown
"K11997","H00264",unknown
"K03939","H00473",unknown
"K14211","H01439",unknown
"K09366","H00604",unknown
"K04447","H02411","mutation"
"K10887","H00092",unknown
"K14575","H00577",unknown
"K15109","H00525",unknown
"K08112","H02154",unknown
"K01513","H01002",unknown
"K14210","H00901",unknown
"K03158","H00912",unknown
"K24456","H00595",unknown
"K04855","H00808",unknown
"K19519","H00952",unknown
"K00909","H00787",unknown
"K04180","H01563","resistance"
"K11446","H02534",unknown
"K05643","H01122",unknown
"K12838","H01800",unknown
"K02603","H01889",unknown
"K13704","H01115",unknown
"K05147","H00437",unknown
"K21108","H00593",unknown
"K13960","H00238",unknown
"K03174","H02536",unknown
"K16748","H00418",unknown
"K05147","H02042",unknown
"K03108","H02529",unknown
"K14617","H02221",unknown
"K23292","H02470",unknown
"K07210","H01245",unknown
"K14169","H02132",unknown
"K23116","H00875",unknown
"K03234","H00063",unknown
"K01537","H00844",unknown
"K04391","H01360","polymorphism"
"K17896","H02199",unknown
"K03943","H00473",unknown
"K01359","H02105",unknown
"K14970","H00247",unknown
"K03884","H01365",unknown
"K03847","H00118",unknown
"K09680","H02208",unknown
"K13377","H00800",unknown
"K10352","H01740",unknown
"K05099","H00018","amplification"
"K24309","H02411","mutation"
"K10381","H00717",unknown
"K05443","H01227","polymorphism"
"K18179","H01200",unknown
"K23552","H01489",unknown
"K04254","H00527",unknown
"K04662","H02170",unknown
"K10163","H01971",unknown
"K23290","H00773",unknown
"K01328","H01006",unknown
"K07828","H00523",unknown
"K14399","H00897",unknown
"K12040","H01174",unknown
"K04857","H00746",unknown
"K10730","H00965",unknown
"K00844","H00527",unknown
"K05687","H01600",unknown
"K06825","H00661",unknown
"K22183","H01132",unknown
"K20865","H02159",unknown
"K09337","H00837",unknown
"K04451","H00047","mutation"
"K04503","H00055","amplification"
"K04437","H00456",unknown
"K06243","H00576",unknown
"K25217","H01095",unknown
"K04707","H02411","mutation"
"K06265","H00120",unknown
"K10392","H00266",unknown
"K19008","H01819",unknown
"K01915","H00923",unknown
"K09315","H00487",unknown
"K04802","H02014",unknown
"K24852","H01968",unknown
"K19627","H00787",unknown
"K18666","H02238",unknown
"K04508","H00250",unknown
"K24273","H01481",unknown
"K10413","H00773",unknown
"K04664","H00466",unknown
"K05093","H01753",unknown
"K16551","H00720",unknown
"K17497","H00118",unknown
"K07860","H00099",unknown
"K12367","H00093",unknown
"K09035","H01202",unknown
"K12382","H00135",unknown
"K07375","H01897",unknown
"K06754","H01037",unknown
"K16196","H01866",unknown
"K20364","H00221",unknown
"K20686","H00606",unknown
"K05025","H00605",unknown
"K17505","H00172",unknown
"K19674","H00529",unknown
"K04427","H02227",unknown
"K17897","H00546",unknown
"K12345","H00118",unknown
"K20091","H00606",unknown
"K02861","H02525",unknown
"K05209","H01827",unknown
"K04503","H00010","translocation"
"K07818","H00109",unknown
"K23677","H00605",unknown
"K04738","H01122",unknown
"K19673","H00751",unknown
"K06087","H02486",unknown
"K02161","H00054","overexpression"
"K07828","H02411","mutation"
"K10956","H02011",unknown
"K04332","H00079",unknown
"K12348","H00138",unknown
"K11838","H02528",unknown
"K11222","H01492","polymorphism"
"K19464","H00856",unknown
"K08769","H02106",unknown
"K10744","H00290",unknown
"K25437","H02431",unknown
"K12898","H00658",unknown
"K00248","H00525",unknown
"K06114","H01125",unknown
"K23893","H00605",unknown
"K19672","H00527",unknown
"K06087","H00605",unknown
"K23312","H02251",unknown
"K17800","H01773",unknown
"K11480","H01282",unknown
"K12359","H02276",unknown
"K10396","H01881",unknown
"K04986","H01728",unknown
"K09519","H00564",unknown
"K23918","H00292",unknown
"K10603","H00107",unknown
"K00016","H01946",unknown
"K02333","H01118",unknown
"K00234","H01354",unknown
"K12344","H00608",unknown
"K09383","H00001","rearrangement"
"K10074","H01109",unknown
"K23951","H02497",unknown
"K01320","H01730",unknown
"K09298","H00459",unknown
"K02147","H02219",unknown
"K09377","H00294",unknown
"K04390","H00007","mutation"
"K12959","H02181",unknown
"K00275","H01124",unknown
"K17973","H00408","polymorphism"
"K09176","H00555",unknown
"K10056","H00293","mutation"
"K05661","H02350",unknown
"K01379","H00149",unknown
"K16461","H00269",unknown
"K18261","H00593",unknown
"K04361","H02467",unknown
"K23291","H00768",unknown
"K18024","H01492","polymorphism"
"K01045","H01457","polymorphism"
"K16195","H02457",unknown
"K16726","H02463",unknown
"K09314","H00516",unknown
"K21594","H00606",unknown
"K01513","H00409","polymorphism"
"K09069","H00458",unknown
"K04177","H01563","resistance"
"K04077","H00679",unknown
"K05227","H00759",unknown
"K09083","H02112",unknown
"K12395","H01656",unknown
"K01852","H01202",unknown
"K05290","H01489",unknown
"K06752","H02123",unknown
"K16194","H02457",unknown
"K10841","H00076",unknown
"K25048","H00679",unknown
"K19872","H02307",unknown
"K07379","H02357",unknown
"K19941","H01649",unknown
"K04987","H00632",unknown
"K21870","H01883",unknown
"K19865","H01728",unknown
"K24517","H01844",unknown
"K24823","H01897",unknown
"K03992","H01887",unknown
"K02540","H00604",unknown
"K00771","H01496",unknown
"K07603","H00586",unknown
"K05081","H01388",unknown
"K13577","H00469",unknown
"K07594","H00512",unknown
"K16763","H00992",unknown
"K21392","H00802",unknown
"K06711","H02463",unknown
"K04574","H00264",unknown
"K03968","H00473",unknown
"K05080","H00155",unknown
"K19673","H02157",unknown
"K15105","H00185",unknown
"K14165","H01994",unknown
"K09594","H00818",unknown
"K05699","H01235",unknown
"K05005","H00747",unknown
"K14443","H01897",unknown
"K20053","H01204",unknown
"K04344","H00063",unknown
"K18274","H02012",unknown
"K06532","H00527",unknown
"K10172","H02324",unknown
"K18438","H01570",unknown
"K23090","H00758",unknown
"K14616","H01277",unknown
"K11502","H00992",unknown
"K00781","H00606",unknown
