from,to
"sei","H00112"
"bpt","H01066"
"T40031","H01550"
"T40074","H02536"
"T40005","H00385"
"sapo","H02385"
"rri","H00323"
"T40359","H02351"
"T40101","H00371"
"T40330","H02173"
"T40343","H01326"
"ypp","H00297"
"bmic","H01060"
"ssp","H01176"
"T40071","H00382"
"T40047","H01539"
"T40066","H00048"
"ovi","H00046"
"aun","H01041"
"sha","H01175"
"kqv","H00301"
"T40084","H00404"
"lpan","H00359"
"loa","H02028"
"T40073","H01429"
"T40329","H02171"
"T40072","H00370"
"bms","H00325"
"ehi","H00360"
"hhm","H01332"
"mnv","H01458"
"bbs","H00353"
"T40074","H01429"
"T40094","H01430"
"T40001","H01563"
"T40328","H00383"
"mrt","H01652"
"mao","H00286"
"T40121","H00283"
"pfib","H00218"
"ypx","H00297"
"T40055","H01536"
"sng","H01064"
"T40371","H02512"
"tve","H01316"
"mche","H01462"
"eoi","H00277"
"afv","H01328"
"banc","H00326"
"mdr","H01458"
"eoj","H00277"
"T40012","H00283"
"T40097","H01418"
"T40053","H01534"
"T40064","H00383"
"rja","H00323"
"hif","H01330"
"T40049","H01553"
"T40346","H00376"
"T40373","H00382"
"T40074","H00365"
"T40042","H00400"
"T40052","H01533"
"T40048","H00381"
"T40023","H00378"
"T40092","H00975"
"T40003","H00009"
"egl","H01153"
"btk","H01399"
"T40082","H00372"
"abe","H01316"
"ear","H00301"
"T40038","H00398"
"T40060","H00380"
"T40367","H02442"
"bbr","H01083"
"fnu","H01408"
"ypg","H00297"
"lhk","H01337"
"T40027","H00382"
"T40016","H00389"
"aap","H01068"
"T40067","H02162"
"T40034","H01429"
"bqu","H00326"
"cim","H01319"
"T40083","H00373"
"T40096","H01416"
"T40089","H00040"
"lsh","H00311"
"T40050","H01560"
"bmy","H02028"
"T40087","H00025"
"T40039","H02536"
"ccu","H01408"
"T40332","H01421"
"mseo","H01458"
"mmk","H01350"
"loa","H01104"
"msym","H01358"
"T40029","H01548"
"T40066","H00413"
"mlb","H00344"
"T40011","H00383"
"T40035","H00398"
"T40333","H02173"
"T40071","H00397"
"saun","H01455"
"phu","H01054"
"T40124","H01052"
"bbo","H01060"
"T40103","H00393"
"gvg","H01380"
"T40018","H00389"
"T40100","H01320"
"ssck","H01499"
"T40046","H00391"
"raj","H00334"
"T40008","H00385"
"T40030","H00382"
"gbr","H01049"
"mgau","H01458"
"pbn","H01329"
"scf","H01443"
"pkn","H00361"
"T40028","H00379"
"T40087","H01509"
"bpa","H00319"
"T40008","H02173"
"T40055","H00379"
"mhad","H01458"
"cpv","H00356"
"T40331","H01326"
"T40053","H00379"
"T40024","H00378"
"T40366","H02442"
"mphu","H01458"
"caur","H00363"
"T40081","H00041"
"tpk","H01408"
"rhe","H00323"
"T40079","H00008"
"T40010","H00386"
"eav","H01444"
"aje","H01062"
"T40374","H00382"
"ecg","H00278"
"T40001","H00041"
"cpw","H01319"
"T40091","H01324"
"maub","H01458"
"abu","H01379"
"T40063","H02165"
"T40365","H02442"
"T40033","H00394"
"T40373","H00381"
"ssn","H00299"
"ccm","H01059"
"T40021","H00390"
"T40094","H00975"
"T40067","H00415"
"mhek","H01458"
"mche","H01458"
"ovi","H01628"
"T40011","H00284"
"bgr","H00326"
"mfj","H01458"
"T40004","H02162"
"T40006","H01542"
